Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[acquired],17,2,Paum,Key,a,20120513_234243,172,145,214,29,0.41445783132530123,0.49710982658959535,0.4520367936925099,0.5282522996057819,0.49014454664914586,-1,-1,9186,12254
[purchabr],18,1,ILP_config_NE_roots,Key,a,20120514_002121,95,524,198,7,0.31666666666666665,0.15175718849840256,0.20518358531317493,0.2203023758099352,0.21274298056155505,424,300,790921,28081
[purchabr],18,2,ILP_config_NE_roots,Key,a,20120514_002121,83,548,116,6,0.40487804878048783,0.130298273155416,0.1971496437054632,0.21140142517814728,0.20427553444180524,402,300,1410963,26223
[purchabr],18,1,Paum,Key,a,20120514_002121,311,266,515,49,0.3554285714285714,0.4968051118210863,0.41439040639573615,0.4796802131912059,0.44703530979347106,-1,-1,9326,13311
[purchabr],18,2,Paum,Key,a,20120514_002121,307,277,420,53,0.3935897435897436,0.48194662480376765,0.4333098094565984,0.5081157374735357,0.470712773465067,-1,-1,10359,12706
[purchaser],19,1,Paum,Key,a,20120514_004029,159,121,184,22,0.43561643835616437,0.5264900662251656,0.47676161919040483,0.5427286356821589,0.5097451274362819,-1,-1,9742,10606
[purchaser],19,2,Paum,Key,a,20120514_004029,171,127,184,24,0.45118733509234826,0.531055900621118,0.4878744650499286,0.5563480741797433,0.522111269614836,-1,-1,9860,11372
[purchaser],19,1,ILP_config_NE_roots,Key,a,20120514_004029,93,198,110,11,0.43457943925233644,0.3079470198675497,0.36046511627906974,0.40310077519379844,0.3817829457364341,314,300,76787,26400
[purchaser],19,2,ILP_config_NE_roots,Key,a,20120514_004029,128,181,158,13,0.4280936454849498,0.39751552795031053,0.4122383252818035,0.4541062801932367,0.43317230273752005,283,300,961627,26947
[seller],20,1,ILP_config_NE_roots,Key,a,20120514_010111,24,85,80,4,0.2222222222222222,0.21238938053097345,0.2171945701357466,0.25339366515837103,0.23529411764705882,149,300,451854,26343
[seller],20,2,ILP_config_NE_roots,Key,a,20120514_010111,22,130,38,2,0.3548387096774194,0.14285714285714285,0.20370370370370372,0.22222222222222224,0.21296296296296297,106,300,682127,26165
[seller],20,1,Paum,Key,a,20120514_010111,30,80,111,3,0.20833333333333334,0.26548672566371684,0.23346303501945528,0.25680933852140075,0.24513618677042803,-1,-1,9663,10323
[seller],20,2,Paum,Key,a,20120514_010111,24,127,60,3,0.27586206896551724,0.15584415584415584,0.1991701244813278,0.22406639004149378,0.21161825726141079,-1,-1,9690,10253
[sellerabr],21,1,ILP_config_NE_roots,Key,a,20120514_012110,14,172,23,2,0.358974358974359,0.07446808510638298,0.12334801762114538,0.1409691629955947,0.13215859030837004,146,300,460054,26469
[sellerabr],21,2,ILP_config_NE_roots,Key,a,20120514_012110,11,231,16,1,0.39285714285714285,0.04526748971193416,0.08118081180811809,0.08856088560885608,0.08487084870848709,95,300,629295,25806
[sellerabr],21,1,Paum,Key,a,20120514_012110,41,136,143,11,0.21025641025641026,0.21808510638297873,0.21409921671018275,0.2715404699738903,0.24281984334203655,-1,-1,9563,11474
[sellerabr],21,2,Paum,Key,a,20120514_012110,39,197,139,7,0.21081081081081082,0.16049382716049382,0.18224299065420563,0.21495327102803738,0.1985981308411215,-1,-1,9897,11452
[acqabr],22,1,Paum,Key,a,20120514_015837,402,269,435,84,0.4364820846905538,0.5324503311258278,0.4797136038186157,0.5799522673031026,0.5298329355608591,-1,-1,9338,13383
[acqabr],22,2,Paum,Key,a,20120514_015837,347,250,427,98,0.39793577981651373,0.49928057553956834,0.4428844926611359,0.5679642629227825,0.5054243777919591,-1,-1,11136,13800
